Cnty,Lake,Lat,Lon
Bottineau County,Lake Thomas,48.9016736,-100.3237492
Steele County,Lake Tobiason,47.6427665,-97.6389778
Williams County,Lake Trenton,48.0653004,-103.8407601
Rolette County,Lake Upsilon,48.9677839,-99.8423568
Ward County,Lake Vernon,47.9772296,-101.5143311
McLean County,Lake Williams,47.5286095,-100.8343073
Kidder County,Lake Williams,47.1288802,-99.6167775
Benson County,Lake Yri,48.21972,-99.2490239
Hettinger County,Larson Lake,46.4275041,-102.5143305
Barnes County,Larson Slough,47.0669264,-97.9359332
Rolette County,Lashman Lake,48.9686169,-99.863189
McHenry County,Lauinger Lake,48.1233364,-100.4226391
Bottineau County,Lee Lake,48.8913937,-100.2698573
Benson County,Legreid Lake,47.9336182,-99.6451296
Pierce County,Lesmeister Lake,47.9916702,-100.0059646
Bottineau County,Line Lake,48.9994589,-100.4337584
Rolette County,Little Gurr Lake,48.6899999,-99.8770878
Rolette County,Little Horseshoe Lake,48.9055582,-99.9881853
Emmons County,Litzman Ponds,46.6063829,-100.5906769
Rolette County,Lockhart Lake,48.9516702,-100.031794
Ransom County,Lone Tree Lake,46.4177465,-97.9601012
Steele County,Lone Tree Lake,47.2894335,-97.8909322
Sheridan County,Lone Tree Lake,47.6597199,-100.1601284
Williams County,Lone Tree Lake,48.4391926,-103.5307476
Burleigh County,Lonetree Lake,47.2024916,-100.2937263
Kidder County,Long Alakline Lake,47.2427705,-99.8273346
Griggs County,Long Lake,47.5669405,-98.2937083
Griggs County,Long Lake,47.488607,-98.3342635
McHenry County,Long Lake,48.0991691,-100.2931936
Pierce County,Long Lake,48.0850039,-99.8712421
Benson County,Long Lake,48.2616665,-99.7873542
McLean County,Long Lake,47.7202787,-100.8573654
Benson County,Long Lake,48.0113885,-99.2518017
Rolette County,Long Lake,48.8925045,-99.8456941
Rolette County,Long Lake,48.9375031,-100.0198499
Bottineau County,Long Lake,48.9427906,-100.4495912
Rolette County,Long Lake,48.9522285,-99.8154148
Rolette County,Long Lake,48.9077803,-99.9962402
Rolette County,Long Lake,48.9158378,-99.8745801
Bottineau County,Long Lake,48.925283,-100.2568007
Rolette County,Long Lake,48.6324996,-99.7187573
Bottineau County,Loon Lake,48.9344517,-100.3084707
Bottineau County,Lords Lake,48.7808346,-100.1987466
McLean County,Lost Lake,47.2561041,-100.8976393
Burke County,Lostwood Lakes,48.5533606,-102.4468421
Mountrail County,Lower Lostwood Lake,48.5330823,-102.4601766
Richland County,Lueck Lake,46.0291259,-97.0423074
Grand Forks County,Lunby Lake,48.0449857,-97.2770237
Rolette County,Lyde Lake,48.9352812,-100.0590177
Steele County,Lynch Lake,47.4830464,-97.8306481
Rolette County,Magog Lake,48.881114,-99.9429114
Emmons County,Maier Lake,46.2408241,-100.2790042
Benson County,Mallard Lake,47.9894437,-98.9001182
Benson County,Mallard Lake,47.8894432,-98.8003885
Oliver County,Mandan Lake,47.2466611,-101.1798738
Nelson County,Mannie Lake,47.7002746,-98.3706552
Rolette County,Marion Lakes,48.8533376,-99.7987544
Williams County,Marple Slough,48.4125256,-103.5396369
McHenry County,Martin Lake,48.042503,-100.2962497
Rolette County,Martin Lake,48.860561,-99.7062561
Burke County,Martin Lakes,48.6394735,-102.3412805
Burke County,Martinsen Lake,48.6172511,-102.3893383
Nelson County,Matson Slough,47.7411037,-97.9517611
McIntosh County,May Lake,46.2458071,-99.5473346
Divide County,Mc Cone Lake,48.9394717,-104.0188227
Barnes County,McDonald Lake,46.9574815,-98.0781523
Nelson County,McHugh Slough,48.0999981,-98.2514918
Logan County,McKenna Lake,46.4877585,-99.8073307
Towner County,McLaughlin Lake,48.8566731,-99.5218091
Williams County,McLeod Lake,48.3380774,-103.1732403
McLean County,McMann Lake,47.8480595,-101.1204317
Kidder County,McPhail Slough,46.9735978,-99.6767736
Stutsman County,Meander Lake,47.2047183,-99.3448362
Stutsman County,Medicine Lake,47.1961063,-98.7784391
Eddy County,Medicine Lake,47.6922192,-98.7412162
Ward County,Mellam Lake,48.0261206,-101.620165
Burke County,Merrills Slough,48.6066956,-102.4260068
Ramsey County,Mikes Lake,48.3083352,-99.0481883
Rolette County,Mill Lake,48.9397283,-99.8059716
Divide County,Miller Lake,48.8355841,-103.963543
Divide County,Miller Lake,48.8380841,-103.9632652
McIntosh County,Miller Lake,46.2388591,-99.2087219
McLean County,Minehan Slough,47.6769481,-101.8182228
Barnes County,Minnie Lake,47.0966483,-97.7676023
Adams County,Mirror Lake,45.9944499,-102.6334907
Burleigh County,Mitchell Lake,47.171658,-100.3012256
Sheridan County,Moesner Lake,47.7966679,-100.5409705
Dunn County,Moffet Slough,47.2902907,-102.6071286
Rolette County,Montgomery Lake,48.9308398,-99.7704185
Stutsman County,Moon Lake,46.866653,-99.0251103
Barnes County,Moon Lake,46.8577605,-98.1592608
Towner County,Moore Lake,48.9150074,-99.29708
Sheridan County,Moorehead Lake,47.7991665,-100.3351341
Richland County,Moran Lake,46.0402368,-97.0167511
Ward County,Mork Lake,48.1291762,-101.5773872
Ramsey County,Morrison Lake,48.2472255,-98.8326228
Benson County,Mud Lake,48.2252787,-99.5723557
Benson County,Mud Lake,48.3536092,-99.7645799
McLean County,Mud Lake,47.6041657,-100.9898691
Sheridan County,Mud Lake,47.8136107,-100.2281885
McIntosh County,Mud Lake,46.2666385,-99.3795561
Barnes County,Mud Lake,46.8574863,-98.4259249
Kidder County,Mud Lake,46.9430415,-99.7003844
Kidder County,Mud Lake,46.6794295,-100.0303849
Barnes County,Mud Lake,47.1516577,-98.4089838
Stutsman County,Mud Lake,47.0541584,-99.3462232
Bottineau County,Mud Lake,48.9633436,-100.3640302
Bottineau County,Mud Lake,48.9775089,-100.3173602
Rolette County,Mullet Lake,48.9377842,-99.784584
Sargent County,Murach Lake,46.12135,-97.2800916
Burke County,Muskie Lake,48.6811417,-102.6760105
Divide County,Musta Lake,48.7136418,-103.5940839
Rolette County,Myer Lake,48.9641706,-100.0573496
McHenry County,Nead Lake,48.2044531,-100.8179216
Burke County,Neils Slough,48.6089178,-102.4271179
Ward County,Nelson and Carlson Lakes,47.9113943,-101.473219
Ward County,Nelson Lake,48.0038976,-101.2723838
McLean County,Nelson Lake,47.5899991,-100.8620867
Divide County,Nelson Lake,48.7064198,-102.996292
Emmons County,Neuwsma Lake,45.9730453,-100.0406704
Stutsman County,Nine Lake,46.9560998,-98.5189825
Eddy County,Ninemile Lake,47.6619414,-98.7367716
McKenzie County,Nohly Lake,47.9197418,-103.9993758
Bottineau County,Norberg Lake,48.9261171,-100.2801355
Divide County,Norman Lake,48.7130868,-102.9243466
Stutsman County,North Brooks Slough,46.8005395,-99.1048325
Steele County,North Golden Lake,47.5958219,-97.6323118
McHenry County,North Lake,48.3641736,-100.7743055
Sheridan County,North Lake,47.3813827,-100.2615104
Divide County,North Lake,48.868084,-103.9646541
Adams County,North Lemmon Lake,46.0111135,-102.163209
Walsh County,North Salt Lake,48.5374875,-97.3403545
Eddy County,North Washington Lake,47.7541639,-98.7114938
Stutsman County,Northwestern Lake,47.2116639,-99.2123363
Wells County,Norway Lake,47.8102824,-99.4679051
McLean County,Nygaard Slough,47.5419424,-101.0248702
Rolette County,Oak Lakes,48.9611177,-99.8059705
Burleigh County,O'Brien Lake,47.2608265,-100.3642856
Benson County,O'Connell Lake,48.1819428,-99.2673572
Rolette County,Olson Lake,48.9494495,-99.8842999
Burke County,Olson Lake,48.6491955,-102.7846237
Stutsman County,Olson Slough,46.8210958,-99.1070549
Nelson County,Omild Slough,47.7408265,-98.0084297
McHenry County,Oslie Lake,48.2283432,-100.8626453
McLean County,Otis Lake,47.8127807,-100.909313
Nelson County,Ottofy Lake,47.7430526,-98.3792668
McLean County,Painted Woods Lake,47.218048,-100.9501409
Kidder County,Pass Lakes,46.9019295,-99.7003845
Burke County,Pauls Slough,48.6114178,-102.4160062
McHenry County,Paulson Lake,47.9858398,-100.6937564
Stutsman County,Pearl Lake,47.032491,-99.3553895
Burleigh County,Pelican Lake,47.3055495,-100.3667873
McLean County,Pelican Lake,47.5322208,-100.7695825
McLean County,Pelican Lake,47.5994438,-100.6765252
Benson County,Pelican Lake,48.1472212,-99.1701328
Bottineau County,Pelican Lake,48.9436172,-100.2681902
Bottineau County,Peterson Lake,48.9650052,-100.1842979
McLean County,Peterson Lake,47.5283318,-100.8034727
Williams County,Peterson Slough,48.606417,-103.2376847
Pierce County,Petrified Lake,48.0866698,-99.9551317
Griggs County,Phelps Lake,47.4994405,-98.3498193
Nelson County,Pickerel Lake,47.6716603,-98.0028734
Divide County,Piepers Lake,48.6991974,-103.1615724
Bottineau County,Platte Lake,48.8736145,-100.2051336
Stutsman County,Plowe Lake,47.169717,-98.870386
Griggs County,Plum Lake,47.5808295,-98.3067642
McHenry County,Poison Lake,48.238615,-100.5798601
Sheridan County,Pop Lake,47.3752736,-100.4379024
McLean County,Postel Lake,47.6138884,-100.6781922
McHenry County,Potters Lake,48.0422303,-100.8907049
Towner County,Pound Lake,48.9438966,-99.346247
Mountrail County,Powers Lake,48.5255811,-102.6054578
McIntosh County,Pudwill Lake,46.1610846,-99.4587245
Rolette County,Purdy Lake,48.9480604,-99.895966
Kidder County,Pursian Lake,46.6847066,-99.9876065
Rolette County,Rabb Lake,48.9875053,-100.1462405
Rolette County,Rabbit City Lake,48.8844466,-100.0212416
Rolette County,Rames Lake,48.9597276,-99.8740221
Kidder County,Ranch Lake,47.1263808,-99.5337227
Pierce County,Ranch Lake,48.1386131,-100.0876341
Mountrail County,Rat Lake,48.14224,-102.6615711
Pierce County,Red Lake,48.2363898,-100.1118015
Burke County,Red Lake,48.7261428,-102.8565676
Griggs County,Red Willow Lake,47.6474966,-98.372599
Burke County,Rennie Lake,48.8300329,-102.522949
Ward County,Rice Lake,48.0055639,-101.5359981
Emmons County,Rice Lake,46.0388786,-100.0823373
Benson County,Roberts Lake,48.105282,-99.7779082
Mountrail County,Robinson Lake,48.1391841,-102.6237927
McHenry County,Rock Lake,48.3155615,-100.7245825
Towner County,Rock Lake,48.8266734,-99.2051361
Burke County,Rock Slough,48.5644721,-102.4473974
Pembina County,Rosa Lake,48.8372169,-97.752589
Rolette County,Rose Lake,48.8838915,-100.0751314
Nelson County,Rose Lake,48.0430525,-98.1812128
Nelson County,Rose Lake,47.9994445,-98.4617716
Bottineau County,Ross Lake,49.0000096,-100.3170826
Divide County,Rosten Slough,48.63364,-103.2051842
Divide County,Round Lake,48.8936385,-104.0441016
Divide County,Round Lake,48.8908607,-104.0441016
McHenry County,Round Lake,48.0319474,-100.2748606
Benson County,Round Lake,48.0272216,-99.2293008
Eddy County,Round Lake,47.5919414,-98.6987149
Pierce County,Round Lake,48.0836145,-99.9317982
Pierce County,Round Lake,48.480552,-100.1976341
Richland County,Round Lake,46.0566255,-96.9370265
Logan County,Round Lake,46.4483141,-99.8162201
Barnes County,Round Lake,46.9160951,-98.2064816
Kidder County,Round Lake,47.1461039,-99.4876123
Griggs County,Round Lake,47.5061072,-98.3325969
Burke County,Ruddy Slough,48.6369746,-102.4660079
Stutsman County,Rudolph Lake,47.1336045,-98.6923248
Nelson County,Rugh Lake,47.7752706,-97.9612062
Stutsman County,Runner Slough,46.8774866,-99.131222
Stutsman County,Rush Island Lake,46.9669331,-98.4934262
Kidder County,Rush Lake,47.1949901,-100.1109448
Kidder County,Rush Lake,47.283604,-99.8895584
Ward County,Rush Lake,47.8883382,-101.4121066
Pierce County,Rush Lake,48.3819426,-100.2209681
Burke County,Rush Lake,48.5544716,-102.4262854
Cavalier County,Rush Lake,48.9055603,-98.6831788
Barnes County,Rush Lake (historical),46.8230335,-97.8695465
Foster County,Russell Lake,47.3786092,-99.1598355
Hettinger County,Rustan Lake,46.3666749,-102.8987746
McHenry County,Rutten Lake,48.0138925,-100.3384731
Barnes County,Saint Marys Lake,46.8483158,-98.1542609
Burke County,Salon Lake,48.6164179,-102.4093392
Kidder County,Salt Alkaline Lake,46.9447092,-99.5323314
McIntosh County,Salt Lake,46.1194165,-99.2920571
Burleigh County,Salt Lake,47.321382,-100.2756748
Walsh County,Salt Lake,48.4613755,-97.2881301
Barnes County,Sanborn Lake,46.9455392,-98.1839823
Burke County,Sand Bottom Lake,48.6661424,-102.5265643
Bottineau County,Sand Lake,48.9441722,-100.2518002
Pierce County,Sand Lake,48.4088862,-99.8009707
Benson County,Sand Lake,48.2177787,-99.7945759
Sheridan County,Sand Lake,47.776388,-100.3004108
Pierce County,Sand Slough,48.3408324,-100.0859683
Burke County,Sand Slough,48.6597531,-102.544898
Pierce County,Sandy Lakes,47.9805596,-99.9623528
Rolette County,Schmidt Lake,48.9105591,-100.1173533
Stutsman County,School Lake,46.7777608,-99.2470554
Logan County,School Lake,46.5055299,-99.2392767
Burke County,School Section Lake,48.598362,-102.4396186
Rolette County,School Section Lake,48.9005591,-99.9234671
Bottineau County,School Section Lake,48.9900097,-100.3276388
Rolette County,School Section Lake,48.9433383,-99.8781895
Rolette County,School Section Lake,48.9452809,-99.9984603
Rolette County,Schutte Lake,48.8222236,-100.0479118
Emmons County,Schwahn Lake,46.1411028,-100.2734515
Barnes County,Scotts Lake,47.0166558,-98.4623154
Burke County,Sectionline Slough,48.6333633,-102.4618411
Emmons County,Senger Lake,46.1316547,-100.0540013
Kidder County,Senior Lake,47.3124931,-99.9273373
McLean County,Shallow Alkali Lake,47.7780573,-101.409883
McLean County,Shallow Lake,47.7763906,-101.3454372
Burke County,Shallow Lake,48.8455883,-102.594339
Mountrail County,Shell Lake,48.1833475,-102.1046114
Benson County,Shin Bone Lake,47.8602765,-98.7017736
Williams County,Shirley Lake,48.5739168,-103.6649198
Eddy County,Shroyer Lake,47.7605548,-99.1940108
Griggs County,Sibley Lake,47.5191629,-98.3487084
Kidder County,Sibley Lake,46.956097,-99.7378837
Richland County,Silver Lake,46.1180161,-97.188423
Wells County,Silver Lake,47.3777745,-99.7915066
Benson County,Silver Lake,48.1961091,-99.2565239
Bottineau County,Sinclair Lake,48.9788951,-100.2498552
Stutsman County,Sinclair Slough,46.7755386,-99.1031657
Kidder County,Sink Lake,47.114435,-99.6573322
Bottineau County,Sivertson Lake,48.9883405,-100.2676342
Divide County,Skjermo Lake,48.9541965,-103.8815956
Sheridan County,Skogmo Lake,47.7183324,-100.4034663
Burke County,Sletten Lake,48.5600254,-102.774903
Burke County,Smishek Lake,48.6250287,-102.6546226
Rolette County,Smith Lake,48.8630575,-100.0295763
Burke County,Smith Lake,48.5572493,-102.392117
Grand Forks County,Smith Lakes,47.9238816,-97.8714823
Bottineau County,Smithsrund Lake,48.8908405,-100.3448614
McHenry County,Smoky Lake,48.1663904,-100.2534703
Pierce County,Soap Lake,48.4108312,-99.9776359
Wells County,Sorenson Lake,47.7491661,-100.0629059
Stutsman County,South Brooks Slough,46.7902614,-99.1031658
Kidder County,South Lake,47.0988794,-99.6114991
Bottineau County,South Loon Lake,48.9263958,-100.3043037
Rolette County,South Messier Lake,49.0000055,-99.917073
Eddy County,South Twin Lake,47.657497,-98.7034376
Eddy County,South Washington Lake,47.7233304,-98.6898265
Sheridan County,Sperry Lake,47.3638823,-100.2492872
Stutsman County,Spiritwood Lake,47.0736025,-98.587598
Sargent County,Sprague Lake,46.0199637,-97.5395412
Stutsman County,Spring Lake,47.036381,-99.1990013
Benson County,Spring Lake,47.9461106,-98.8192797
Pierce County,Spring Lake,48.4933295,-99.9009719
Burke County,Spring Lake,48.5622496,-102.4076732
McHenry County,Spring Lake,48.3233355,-100.5851359
Burke County,Spring Slough,48.5833616,-102.4565642
Benson County,Square Lake,47.9066657,-98.804278
Burke County,Stacy Slough,48.5764164,-102.3590595
Kidder County,Standish Lake,47.138603,-99.5751114
McHenry County,Steele Lake,47.8738896,-100.2420792
Sheridan County,Stein Lake,47.5874977,-100.3684631
Nelson County,Stella Lake,47.9933278,-98.0339889
McHenry County,Stevens Slough,47.9875063,-100.6729228
Grand Forks County,Stewart Lake,48.0610969,-97.2789677
McHenry County,Stink Lake,48.0711187,-100.7795899
Benson County,Stink Lake,48.2552756,-99.236246
Benson County,Stink Lake,48.2455532,-99.2434683
Emmons County,Stink Lake,46.6252616,-99.9351069
Stutsman County,Stink Lake,46.883597,-99.4245546
Stutsman County,Stink Lake,46.8577631,-99.3778882
Divide County,Stink Lake,48.6219713,-104.0254901
Williams County,Stink Lake,48.6239158,-104.024379
Ramsey County,Stone Lake,48.2986144,-98.9281841
Pierce County,Stony Lake,48.1538906,-100.1393018
Benson County,Stony Lake,47.9780572,-99.2995785
Kidder County,Stony Lake,46.9533195,-99.6801069
Steele County,Stony Lake,47.2844335,-97.907321
Foster County,Stony Lake,47.5433302,-98.6881589
Sargent County,Storm Lake,46.254961,-97.4673133
McLean County,Strawberry Lake,47.7655573,-100.8695887
Bottineau County,Strawberry Lake,48.9447371,-100.5051502
Rolette County,Streitzel Lake,48.9800049,-99.9279068
Nelson County,Stump Lake,47.9111095,-98.3842694
Rolette County,Sucker Lake,48.9269477,-99.968463
Williams County,Sueet Slough,48.3925245,-104.019934
Stutsman County,Sunday Lake,47.1844402,-99.3228916
Rolette County,Susie Lake,49.0000064,-99.8662426
Kidder County,Swan Lake,47.2894392,-99.7576144
Richland County,Swan Lake,46.0880155,-97.1053651
Nelson County,Swan Lake,47.9558327,-98.4345484
Benson County,Sweetwater Lake,47.9824987,-98.9745663
Ramsey County,Sweetwater Lake,48.2166697,-98.8226214
Barnes County,Sweetwater Lake,46.8794283,-98.2081481
Kidder County,Sweetwater Lake,46.9894321,-99.5914972
Burke County,Swensens Slough,48.6964209,-102.4543394
Burke County,Swim Lake,48.6644755,-102.5479535
Rolette County,Syrian Lake,48.8775056,-99.7351445
Ward County,Tangedahl Lake,47.9916747,-101.5282202
Kidder County,Tappen Slough,46.9416529,-99.6462185
Burke County,Teal Slough,48.6519745,-102.4137832
Burke County,Thompson Lake,48.6489188,-102.3998938
Rolette County,Thorn Lake,48.862224,-100.0073538
Stutsman County,Thornton Slough,46.7966505,-99.1292771
Divide County,Thorsons Lake,48.6716966,-103.2162955
Williams County,Tom Berg Lake,48.5903054,-103.1579615
Burke County,Tower Slough,48.6391965,-102.415728
Stutsman County,Trautman Slough,46.8247069,-99.1814997
McIntosh County,Tschetter Lake,46.0021965,-99.3578924
McLean County,Turtle Lake,47.534998,-100.9651458
Rolette County,Twin Lake,48.7058332,-99.9209749
Williams County,Twin Lakes,48.6078045,-104.0154897
Burleigh County,Twin Lakes,47.2130461,-100.1295569
LaMoure County,Twin Lakes,46.4066374,-98.2678765
Rolette County,Twin Lakes,48.5508303,-99.7587544
Williams County,Twin Lakes,48.4280813,-103.6176956
Benson County,Twin Lakes,48.2402781,-99.6206884
Benson County,Twin Lakes,47.9666656,-99.0937377
Nelson County,Twin Lakes,47.9672154,-97.8973171
Ramsey County,Twin Lakes,48.0330564,-98.4939946
Nelson County,Twin Lakes,47.8849953,-98.1278773
Ward County,Underdahl Lake,48.0708434,-101.6515539
Kidder County,Upper Harker Lake,46.834706,-99.7120512
Burke County,Upper Lostwood Lake,48.5694722,-102.438508
Burke County,Upper Thompson Lake,48.6564189,-102.3904489
Rolette County,Villneauve Lake,48.8805589,-99.9109689
Richland County,Wahl Lake,46.0474601,-97.1417552
Rolette County,Walker Lake,48.9591724,-99.8593008
Bottineau County,Walker Lake,48.9605612,-100.2267992
Emmons County,Walther Slough,46.2024923,-100.3712298
Burke County,Ward Lake,48.7100326,-102.4721174
Rolette County,Warner Lake,48.955283,-99.8854106
Walsh County,Waterloo Lake,48.5261075,-98.1006581
Kidder County,Weber Lake,46.8288732,-99.9559383
Stutsman County,Weber Slough,46.8191513,-99.124555
McLean County,Weller Slough,47.3949964,-101.189042
Rolette County,Wendland Lake,48.9013921,-99.9462434
Sheridan County,West Lake,47.371105,-100.2790103
Stutsman County,West Lake,47.2074972,-99.2301142
Burke County,Westby Lake,48.5508601,-102.3496148
Rolette County,Wheaton Lake,48.9191726,-99.7912513
Mountrail County,White Lake,48.3922441,-102.4626772
Slope County,White Lake,46.4772326,-103.2148974
Sargent County,White Lake,45.9969068,-97.3939836
Emmons County,Wilde Lake,46.5444384,-100.5392862
McLean County,Wildwood Lake,47.1741588,-100.9665295
Rolette County,Wilfreds Lake,48.9997287,-99.8620762
Richland County,Willard Lake,46.0638477,-96.9445267
Golden Valley County,William Lake,46.6025108,-103.8910363
Steele County,Willow Lake,47.2733224,-97.9270434
Kidder County,Willow Lake,47.2813827,-99.8145585
Rolette County,Willow Lake,48.9261152,-100.1481869
